figure,dgp,T,c,paper,reproduced,difference,within_band
4,4,500,0.01,0.0193965517241379,0.039,0.0196034482758621,True
4,4,100,0.01,0.0387931034482759,0.0505,0.011706896551724105,True
4,4,500,0.03,0.0387931034482759,0.0875,0.048706896551724096,True
4,4,500,0.06,0.1228448275862069,0.276,0.15315517241379312,False
4,4,100,0.06,0.0603448275862068,0.086,0.02565517241379319,True
4,4,500,0.12,0.6810344827586207,0.8795,0.19846551724137929,False
4,4,100,0.12,0.1681034482758621,0.259,0.09089655172413791,False
4,4,500,0.24,0.9935344827586208,1.0,0.006465517241379226,True
4,4,100,0.24,0.7262931034482758,0.884,0.1577068965517242,False
4,4,100,0.5,0.9913793103448276,1.0,0.008620689655172376,True
